original,recovered
-0.088,-0.1191133513299183
-0.1429,-0.17865793404362362
-0.1979,-0.2381246904702422
-0.2529,-0.29746111313113566
-0.3079,-0.3566146085153851
-0.3628,-0.4155325485805713
-0.4175,-0.47416232247842277
-0.472,-0.5324513884512638
-0.5263,-0.5903473258448586
-0.5803,-0.6477978871828269
-0.6339,-0.7047510502477453
-0.6872,-0.7611550701137269
-0.74,-0.8169585310753613
-0.7923,-0.8721103984176122
-0.844,-0.9265600699714517
-0.8952,-0.9802574274001156
-0.9457,-1.0331528871608713
-0.9955,-1.0851974510874403
-1.0445,-1.1363427565385698
-1.0928,-1.1865411260584855
-1.1402,-1.235745616495326
-1.1868,-1.2839100675241815
-1.2324,-1.3309891495218187
-1.277,-1.3769384107407525
-1.3206,-1.4217143237309606
-1.3631,-1.4652743309582101
-1.4046,-1.5075768895686783
-1.4448,-1.548581515250478
-1.4839,-1.5882488251433802
-1.5218,-1.626540579749034
-1.5583,-1.6634197237950017
-1.5936,-1.698850426006836
-1.6275,-1.7327981177436074
-1.66,-1.7652295304532843
-1.6911,-1.7961127319057462
-1.7207,-1.8254171611622374
-1.7489,-1.8531136622414446
-1.7755,-1.8791745164437097
-1.8006,-1.9035734732962264
-1.8241,-1.9262857800834428
-1.846,-1.9472882099284776
-1.8663,-1.9665590883926827
-1.8849,-1.9840783185621234
-1.9019,-1.9998274045913171
-1.9171,-2.013789473676127
-1.9307,-2.0259492964293657
-1.9425,-2.0362933056343606
-1.9525,-2.0448096133534275
-1.9608,-2.05148802636987
-1.9673,-2.0563200599440057
-1.972,-2.0592989498653256
-1.9749,-2.060419662784901
-1.9761,-2.059678904813789
-1.9754,-2.0570751283751623
-1.9728,-2.052608537299689
-1.9685,-2.0462810901555497
-1.9623,-2.0380965018064563
-1.9544,-2.0280602431927948
-1.9446,-2.0161795393330273
-1.933,-2.00246336554439
-1.9195,-1.9869224418837668
-1.9043,-1.9695692258116182
-1.8873,-1.9504179030837199
-1.8685,-1.929484376877374
-1.848,-1.906786255160701
-1.8257,-1.8823428363154688
-1.8016,-1.856175093025866
-1.7759,-1.828305654447458
-1.7485,-1.7987587866724768
-1.7193,-1.7675603715094121
-1.6886,-1.7347378835967229
-1.6562,-1.700320365872316
-1.6222,-1.6643384034222048
-1.5866,-1.6268240957335582
-1.5495,-1.5878110273790798
-1.5109,-1.5473342371613716
-1.4708,-1.505430185747643
-1.4293,-1.462136721826758
-1.3864,-1.4174930468222482
-1.342,-1.3715396781965117
-1.2964,-1.3243184113829485
-1.2495,-1.2758722803843154
-1.2013,-1.2262455170770319
-1.1519,-1.175483509262621
-1.1014,-1.123632757508832
-1.0497,-1.0707408308243265
-0.997,-1.0168563212121438
-0.9433,-0.9620287971483305
-0.8886,-0.9063087560333651
-0.8329,-0.849747575665164
-0.7764,-0.7923974647834707
-0.7191,-0.734311412736542
-0.661,-0.6755431383219601
-0.6021,-0.6161470378543942
-0.5427,-0.5561781325139171
-0.4826,-0.49569201502934707
-0.4219,-0.4347447957518205
-0.3608,-0.37339304817446844
-0.2992,-0.311693753954732
-0.2373,-0.24970424749637554
-0.175,-0.18748216014877134
-0.1124,-0.1250853640814923
-0.0497,-0.06257191589262973
0.0132,-9.457323812966933e-12
0.0762,0.06257212805952495
0.1392,0.12508619856206035
0.2022,0.18748398436986555
0.2651,0.2497073578173523
0.3279,0.3116983474519933
0.3904,0.3733991946371563
0.4527,0.4347524099483416
0.5146,0.49570082930393206
0.5762,0.5561876697719275
0.6373,0.6161565849943278
0.698,0.6755517201714215
0.758,0.7343177665484818
0.8175,0.7924000153481412
